Preço,Cidade,Bairro,Endereço,Numero,Dorms,Banheiros,Area,Vagas,Titulo
R$ 680.000,Caraguatatuba,Martim de Sa,N/I,N/I,"3
              

                Quartos","2
              

                Banheiros","103
              

                m²","2
                

                  Vagas","Casa com 3 Quartos à Venda, 103m²"
"R$ 583.000
                    



                  Condomínio:
                  
                      R$ 730",Caraguatatuba,Martim de Sa,Avenida Casa Branca,47,"2
              

                Quartos","2
              

                Banheiros","76
              

                m²","2
                

                  Vagas","Apartamento com 2 Quartos à Venda, 76m²"
"R$ 450.000
                    



                  Condomínio:
                  
                      R$ 500",Caraguatatuba,Martim de Sa,N/I,N/I,"2
              

                Quartos","2
              

                Banheiros","68
              

                m²","3
                

                  Vagas","Casa de condomínio com 2 Quartos à Venda, 68m²"
R$ 6.100.000,Caraguatatuba,Martim de Sa,N/I,N/I,"--
              

                Quarto","--
              

                Banheiro","1900
              

                m²","--
                

                  Vaga","Lote/Terreno    à Venda, 1900m²"
R$ 430.000,Caraguatatuba,Vila Balneario Santa Martha,Rua Bragança Paulista,7,"2
              

                Quartos","2
              

                Banheiros","73
              

                m²","1
                

                  Vaga","Apartamento com 2 Quartos à Venda, 73m²"
R$ 920.000,Caraguatatuba,Massaguaçu,Rua Quatro,N/I,"4
              

                Quartos","4
              

                Banheiros","309
              

                m²","4
                

                  Vagas","Casa com 4 Quartos à Venda, 309m²"
R$ 490.000,Caraguatatuba,Martin de Sá,Rua Santo Antônio do Pinhal,N/I,"2
              

                Quartos","3
              

                Banheiros","94
              

                m²","6
                

                  Vagas","Casa com 2 Quartos à Venda, 94m²"
"R$ 385.000
                        
Preço abaixo do mercado





                  Condomínio:
                  
                      R$ 380",Caraguatatuba,Martim de Sa,Rua Bartolomeu Bueno da Silva,1300,"2
              

                Quartos","1
              

                Banheiro","94
              

                m²","1
                

                  Vaga","Casa com 2 Quartos à Venda, 94m²"
R$ 350.000,Caraguatatuba,Sumaré,N/I,N/I,"2
              

                Quartos","1
              

                Banheiro","70
              

                m²","1
                

                  Vaga","Casa com 2 Quartos à Venda, 70m²"
R$ 400.000,Caraguatatuba,Vila Atlantica,Rua Paschoal Paes de Araújo,230,"1
              

                Quarto","1
              

                Banheiro","70
              

                m²","1
                

                  Vaga","Casa com  Quarto à Venda, 70m²"
"R$ 1.650.000
                    



                  Condomínio:
                  
                      R$ 200",Caraguatatuba,Massaguaçu,N/I,N/I,"3
              

                Quartos","2
              

                Banheiros","260
              

                m²","7
                

                  Vagas","Casa com 3 Quartos à Venda, 260m²"
"R$ 1.200.000
                    



                  Condomínio:
                  
                      R$ 1.300",Caraguatatuba,Indaiá,N/I,N/I,"4
              

                Quartos","3
              

                Banheiros","167
              

                m²","1
                

                  Vaga","Apartamento com 4 Quartos à Venda, 167m²"
"R$ 580.000
                        
Preço abaixo do mercado





                  Condomínio:
                  
                      R$ 380",Caraguatatuba,Massaguaçu,N/I,N/I,"2
              

                Quartos","3
              

                Banheiros","148
              

                m²","1
                

                  Vaga","Casa de condomínio com 2 Quartos à Venda, 148m²"
R$ 1.600.000,Caraguatatuba,Massaguaçu,N/I,N/I,"8
              

                Quartos","8
              

                Banheiros","270
              

                m²","6
                

                  Vagas","Casa com 8 Quartos à Venda, 270m²"
"R$ 440.000
                    



                  Condomínio:
                  
                      R$ 278",Caraguatatuba,Pontal de Santa Marina,N/I,N/I,"2
              

                Quartos","2
              

                Banheiros","95
              

                m²","1
                

                  Vaga","Casa com 2 Quartos à Venda, 95m²"
R$ 955.000,Caraguatatuba,Pontal de Santa Marina,N/I,N/I,"3
              

                Quartos","3
              

                Banheiros","215
              

                m²","3
                

                  Vagas","Casa com 3 Quartos à Venda, 215m²"
R$ 355.000,Caraguatatuba,Rio Do Ouro,Rua Benedito Miguel da Costa,1111,"2
              

                Quartos","1
              

                Banheiro","100
              

                m²","1
                

                  Vaga","Casa com 2 Quartos à Venda, 100m²"
"R$ 500.000
                        
Preço abaixo do mercado",Caraguatatuba,Jardim Casa Branca,N/I,N/I,"6
              

                Quartos","5
              

                Banheiros","220
              

                m²","8
                

                  Vagas","Casa com 6 Quartos à Venda, 220m²"
R$ 350.000,Caraguatatuba,Jardim Das Gaivotas,N/I,N/I,"2
              

                Quartos","1
              

                Banheiro","60
              

                m²","1
                

                  Vaga","Casa de condomínio com 2 Quartos à Venda, 60m²"
"R$ 600.000
                    



                  Condomínio:
                  
                      R$ 630",Caraguatatuba,Sumaré,Avenida Lucas Nogueira Garcez,989,"2
              

                Quartos","2
              

                Banheiros","79
              

                m²","2
                

                  Vagas","Apartamento com 2 Quartos à Venda, 79m²"
R$ 150.000,Caraguatatuba,Balneario Recanto do Sol,N/I,N/I,"--
              

                Quarto","--
              

                Banheiro","290
              

                m²","--
                

                  Vaga","Lote/Terreno    à Venda, 290m²"
"R$ 310.000
                    



                  Condomínio:
                  
                      R$ 350",Caraguatatuba,Balneário dos Golfinhos,N/I,N/I,"1
              

                Quarto","1
              

                Banheiro","56
              

                m²","--
                

                  Vaga","Apartamento com  Quarto à Venda, 56m²"
R$ 700.000,Caraguatatuba,Sumaré,Rua Levy Aniceto de Souza,N/I,"4
              

                Quartos","2
              

                Banheiros","200
              

                m²","2
                

                  Vagas","Casa com 4 Quartos à Venda, 200m²"
"R$ 500.000
                    



                  Condomínio:
                  
                      R$ 550",Caraguatatuba,Prainha,N/I,N/I,"2
              

                Quartos","2
              

                Banheiros","77
              

                m²","1
                

                  Vaga","Apartamento com 2 Quartos à Venda, 77m²"
"R$ 390.000
                        
Preço abaixo do mercado",Caraguatatuba,Getuba,N/I,N/I,"4
              

                Quartos","2
              

                Banheiros","203
              

                m²","6
                

                  Vagas","Casa com 4 Quartos à Venda, 203m²"
R$ 2.200.000,Caraguatatuba,Capricórnio I,N/I,N/I,"4
              

                Quartos","5
              

                Banheiros","241
              

                m²","5
                

                  Vagas","Casa com 4 Quartos à Venda, 241m²"
"R$ 430.000
                    



                  Condomínio:
                  
                      R$ 375",Caraguatatuba,Massaguaçu,Rua Hortência Pinto Noronha,N/I,"2
              

                Quartos","3
              

                Banheiros","81
              

                m²","2
                

                  Vagas","Casa de condomínio com 2 Quartos à Venda, 81m²"
"R$ 369.360
                    



                  Condomínio:
                  
                      R$ 200",Caraguatatuba,Verde Mar,Rua Um,100,"--
              

                Quarto","--
              

                Banheiro","374
              

                m²","--
                

                  Vaga","Lote/Terreno    à Venda, 374m²"
"R$ 1.300.000
                    



                  Condomínio:
                  
                      R$ 295",Caraguatatuba,Massaguaçu,N/I,N/I,"3
              

                Quartos","3
              

                Banheiros","209
              

                m²","4
                

                  Vagas","Casa de condomínio com 3 Quartos à Venda, 209m²"
"R$ 590.000
                    



                  Condomínio:
                  
                      R$ 470",Caraguatatuba,Jardim Casa Branca,N/I,N/I,"2
              

                Quartos","1
              

                Banheiro","75
              

                m²","2
                

                  Vagas","Apartamento com 2 Quartos à Venda, 75m²"
R$ 650.000,Caraguatatuba,Indaiá,N/I,N/I,"2
              

                Quartos","2
              

                Banheiros","74
              

                m²","1
                

                  Vaga","Apartamento com 2 Quartos à Venda, 74m²"
R$ 650.000,Caraguatatuba,Indaiá,N/I,N/I,"2
              

                Quartos","2
              

                Banheiros","74
              

                m²","1
                

                  Vaga","Apartamento com 2 Quartos à Venda, 74m²"
R$ 2.300.000,Caraguatatuba,Indaiá,N/I,N/I,"5
              

                Quartos","4
              

                Banheiros","312
              

                m²","5
                

                  Vagas","Casa com 5 Quartos à Venda, 312m²"
R$ 330.000,Caraguatatuba,Poiares,Rua Dom João VI,s/n,"--
              

                Quarto","--
              

                Banheiro","260
              

                m²","--
                

                  Vaga","Lote/Terreno    à Venda, 260m²"
R$ 740.000,Caraguatatuba,Massaguaçu,N/I,N/I,"5
              

                Quartos","4
              

                Banheiros","300
              

                m²","4
                

                  Vagas","Casa com 5 Quartos à Venda, 300m²"
"R$ 380.000
                    



                  Condomínio:
                  
                      R$ 500",Caraguatatuba,Vila Atlantica,Rua Bartolomeu Bueno da Silva,1150,"2
              

                Quartos","1
              

                Banheiro","92
              

                m²","1
                

                  Vaga","Casa com 2 Quartos à Venda, 92m²"
R$ 390.000,Caraguatatuba,GOLFINHO,Avenida Pedro Reginaldo da Costa,345,"2
              

                Quartos","2
              

                Banheiros","62
              

                m²","1
                

                  Vaga","Casa com 2 Quartos à Venda, 62m²"
R$ 850.000,Caraguatatuba,Aruan,N/I,N/I,"3
              

                Quartos","4
              

                Banheiros","140
              

                m²","1
                

                  Vaga","Casa com 3 Quartos à Venda, 140m²"
R$ 690.000,Caraguatatuba,Sumaré,N/I,N/I,"2
              

                Quartos","2
              

                Banheiros","250
              

                m²","5
                

                  Vagas","Casa com 2 Quartos à Venda, 250m²"
"R$ 1.596.000
                    



                  Condomínio:
                  
                      R$ 200",Caraguatatuba,Portal do Patrimonium,N/I,N/I,"3
              

                Quartos","4
              

                Banheiros","260
              

                m²","5
                

                  Vagas","Casa de condomínio com 3 Quartos à Venda, 260m²"
R$ 130.000,Caraguatatuba,Morro Do Algodao,N/I,N/I,"--
              

                Quarto","--
              

                Banheiro","250
              

                m²","--
                

                  Vaga","Lote/Terreno    à Venda, 250m²"
R$ 1.200.000,Caraguatatuba,Pontal de Santa Marina,N/I,N/I,"2
              

                Quartos","2
              

                Banheiros","700
              

                m²","2
                

                  Vagas","Casa com 2 Quartos à Venda, 700m²"
R$ 990.000,Caraguatatuba,Pontal de Santa Marina,N/I,N/I,"3
              

                Quartos","3
              

                Banheiros","179
              

                m²","2
                

                  Vagas","Casa com 3 Quartos à Venda, 179m²"
R$ 7.000.000,Caraguatatuba,Massaguaçu,N/I,N/I,"7
              

                Quartos","4
              

                Banheiros","700
              

                m²","5
                

                  Vagas","Casa com 7 Quartos à Venda, 700m²"
R$ 500.000,Caraguatatuba,Cocanha,N/I,N/I,"2
              

                Quartos","2
              

                Banheiros","120
              

                m²","5
                

                  Vagas","Casa com 2 Quartos à Venda, 120m²"
R$ 510.600,Caraguatatuba,Pontal de Santa Marina,Rua Antônio Carlos Quental Simas,100,"2
              

                Quartos","3
              

                Banheiros","90
              

                m²","1
                

                  Vaga","Casa com 2 Quartos à Venda, 90m²"
R$ 330.000,Caraguatatuba,Capricórnio II,Rua Dois,N/I,"2
              

                Quartos","2
              

                Banheiros","73
              

                m²","1
                

                  Vaga","Casa com 2 Quartos à Venda, 73m²"
"R$ 350.000
                    



                  Condomínio:
                  
                      R$ 200",Caraguatatuba,Martim de Sa,Rua Santa Rita do Passa Quatro,N/I,"2
              

                Quartos","1
              

                Banheiro","44
              

                m²","2
                

                  Vagas","Casa de condomínio com 2 Quartos à Venda, 44m²"
R$ 480.000,Caraguatatuba,Massaguaçu,N/I,N/I,"2
              

                Quartos","3
              

                Banheiros","135
              

                m²","2
                

                  Vagas","Casa com 2 Quartos à Venda, 135m²"
R$ 660.000,Caraguatatuba,Massaguaçu,N/I,N/I,"2
              

                Quartos","3
              

                Banheiros","148
              

                m²","1
                

                  Vaga","Casa de condomínio com 2 Quartos à Venda, 148m²"
R$ 850.000,Caraguatatuba,Ipiranga,N/I,N/I,"2
              

                Quartos","3
              

                Banheiros","150
              

                m²","2
                

                  Vagas","Apartamento com 2 Quartos à Venda, 150m²"
R$ 370.000,Caraguatatuba,Massaguaçu,Avenida Yvone Yoneka Nakanishi,3,"2
              

                Quartos","3
              

                Banheiros","80
              

                m²","1
                

                  Vaga","Casa com 2 Quartos à Venda, 80m²"
R$ 580.000,Caraguatatuba,Centro,N/I,N/I,"2
              

                Quartos","1
              

                Banheiro","70
              

                m²","1
                

                  Vaga","Apartamento com 2 Quartos à Venda, 70m²"
R$ 750.000,Caraguatatuba,Indaiá,N/I,N/I,"3
              

                Quartos","2
              

                Banheiros","86
              

                m²","1
                

                  Vaga","Apartamento com 3 Quartos à Venda, 86m²"
R$ 499.000,Caraguatatuba,Jardim Britânia,N/I,N/I,"2
              

                Quartos","2
              

                Banheiros","61
              

                m²","1
                

                  Vaga","Apartamento com 2 Quartos à Venda, 61m²"
R$ 500.000,Caraguatatuba,Jardim Casa Branca,Rua Dom Francisco de Moura Rolim,110,"7
              

                Quartos","6
              

                Banheiros","220
              

                m²","12
                

                  Vagas","Casa com 7 Quartos à Venda, 220m²"
R$ 15.960.000,Caraguatatuba,Travessão,Avenida José Herculano,7565,"11
              

                Quartos","11
              

                Banheiros","1000
              

                m²","30
                

                  Vagas","Fazenda/Sítio/Chácara com 11 Quartos à Venda, 1000m²"
"R$ 890.000
                    



                  Condomínio:
                  
                      R$ 800",Caraguatatuba,Aruan,N/I,N/I,"2
              

                Quartos","2
              

                Banheiros","64
              

                m²","1
                

                  Vaga","Apartamento com 2 Quartos à Venda, 64m²"
R$ 1.250.000,Caraguatatuba,Capricórnio III,N/I,N/I,"4
              

                Quartos","2
              

                Banheiros","177
              

                m²","4
                

                  Vagas","Casa com 4 Quartos à Venda, 177m²"
R$ 550.000,Caraguatatuba,Massaguaçu,N/I,N/I,"3
              

                Quartos","2
              

                Banheiros","83
              

                m²","2
                

                  Vagas","Casa com 3 Quartos à Venda, 83m²"
R$ 240.000,Caraguatatuba,Jardim Casa Branca,N/I,N/I,"--
              

                Quarto","--
              

                Banheiro","250
              

                m²","--
                

                  Vaga","Lote/Terreno    à Venda, 250m²"
R$ 240.000,Caraguatatuba,Jardim Casa Branca,N/I,N/I,"--
              

                Quarto","--
              

                Banheiro","250
              

                m²","--
                

                  Vaga","Lote/Terreno    à Venda, 250m²"
R$ 1.500.000,Caraguatatuba,Jardim Casa Branca,Avenida Maçaranduba,N/I,"--
              

                Quarto","--
              

                Banheiro","3676
              

                m²","--
                

                  Vaga","Lote/Terreno    à Venda, 3676m²"
"R$ 620.000
                    



                  Condomínio:
                  
                      R$ 460",Caraguatatuba,Martim de Sa,Avenida Nilo Braga Garcez,N/I,"2
              

                Quartos","1
              

                Banheiro","62
              

                m²","1
                

                  Vaga","Apartamento com 2 Quartos à Venda, 62m²"
R$ 860.000,Caraguatatuba,Indaiá,Avenida Rio de Janeiro,480,"2
              

                Quartos","2
              

                Banheiros","76
              

                m²","1
                

                  Vaga","Apartamento com 2 Quartos à Venda, 76m²"
R$ 320.000,Caraguatatuba,Massaguaçu,N/I,N/I,"--
              

                Quarto","--
              

                Banheiro","384
              

                m²","--
                

                  Vaga","Lote/Terreno    à Venda, 384m²"
R$ 1.500.000,Caraguatatuba,Indaiá,Avenida Bahia,1630,"3
              

                Quartos","3
              

                Banheiros","286
              

                m²","3
                

                  Vagas","Casa com 3 Quartos à Venda, 286m²"
R$ 1.350.000,Caraguatatuba,Mar Verde II,Rua Frade,N/I,"4
              

                Quartos","4
              

                Banheiros","191
              

                m²","5
                

                  Vagas","Casa de condomínio com 4 Quartos à Venda, 191m²"
R$ 400.000,Caraguatatuba,Morro Do Algodao,Rua Guilherme de Almeida,N/I,"2
              

                Quartos","3
              

                Banheiros","300
              

                m²","7
                

                  Vagas","Casa com 2 Quartos à Venda, 300m²"
"R$ 480.000
                        
Preço abaixo do mercado",Caraguatatuba,Martim de Sa,N/I,N/I,"3
              

                Quartos","2
              

                Banheiros","300
              

                m²","--
                

                  Vaga","Casa com 3 Quartos à Venda, 300m²"
R$ 1.100.000,Caraguatatuba,Massaguaçu,Avenida Maestro Heitor de Carvalho,N/I,"2
              

                Quartos","2
              

                Banheiros","600
              

                m²","6
                

                  Vagas","Casa com 2 Quartos à Venda, 600m²"
R$ 2.300.000,Caraguatatuba,Massaguaçu,N/I,N/I,"7
              

                Quartos","7
              

                Banheiros","316
              

                m²","6
                

                  Vagas","Casa com 7 Quartos à Venda, 316m²"
"R$ 2.200.000
                    



                  Condomínio:
                  
                      R$ 557",Caraguatatuba,Park Imperial,N/I,N/I,"4
              

                Quartos","3
              

                Banheiros","333
              

                m²","3
                

                  Vagas","Casa com 4 Quartos à Venda, 333m²"
R$ 450.000,Caraguatatuba,Morro Do Algodao,N/I,N/I,"4
              

                Quartos","2
              

                Banheiros","173
              

                m²","1
                

                  Vaga","Casa com 4 Quartos à Venda, 173m²"
R$ 1.200.000,Caraguatatuba,Portal do Tabatinga,Avenida Eurico Gaspar Dutra,1370,"--
              

                Quarto","--
              

                Banheiro","3000
              

                m²","--
                

                  Vaga","Lote/Terreno    à Venda, 3000m²"
"R$ 1.150.000
                    



                  Condomínio:
                  
                      R$ 1.200",Caraguatatuba,Centro,N/I,N/I,"3
              

                Quartos","1
              

                Banheiro","109
              

                m²","1
                

                  Vaga","Apartamento com 3 Quartos à Venda, 109m²"
R$ 690.000,Caraguatatuba,Porto Novo,N/I,N/I,"3
              

                Quartos","1
              

                Banheiro","371
              

                m²","5
                

                  Vagas","Casa com 3 Quartos à Venda, 371m²"
R$ 750.000,Caraguatatuba,Indaiá,Avenida Acre,1000,"3
              

                Quartos","3
              

                Banheiros","150
              

                m²","2
                

                  Vagas","Casa com 3 Quartos à Venda, 150m²"
R$ 1.400.000,Caraguatatuba,Centro,N/I,N/I,"--
              

                Quarto","2
              

                Banheiros","147
              

                m²","--
                

                  Vaga","Ponto comercial/Loja/Box    à Venda, 147m²"
"R$ 424.000
                    



                  Condomínio:
                  
                      R$ 332",Caraguatatuba,Martim de Sa,N/I,N/I,"2
              

                Quartos","2
              

                Banheiros","74
              

                m²","1
                

                  Vaga","Apartamento com 2 Quartos à Venda, 74m²"
R$ 335.000,Caraguatatuba,Balneário dos Golfinhos,N/I,N/I,"2
              

                Quartos","1
              

                Banheiro","53
              

                m²","2
                

                  Vagas","Casa com 2 Quartos à Venda, 53m²"
R$ 4.250.000,Caraguatatuba,Massaguaçu,Rua Boreste,N/I,"6
              

                Quartos","6
              

                Banheiros","350
              

                m²","3
                

                  Vagas","Casa de condomínio com 6 Quartos à Venda, 350m²"
R$ 1.800.000,Caraguatatuba,Praia Das Palmeiras,N/I,N/I,"--
              

                Quarto","--
              

                Banheiro","1680
              

                m²","--
                

                  Vaga","Lote/Terreno    à Venda, 1680m²"
R$ 790.000,Caraguatatuba,Portal da Fazendinha,N/I,N/I,"3
              

                Quartos","3
              

                Banheiros","208
              

                m²","5
                

                  Vagas","Casa com 3 Quartos à Venda, 208m²"
"R$ 1.700.000
                    



                  Condomínio:
                  
                      R$ 390",Caraguatatuba,Massaguaçu,N/I,N/I,"3
              

                Quartos","3
              

                Banheiros","201
              

                m²","--
                

                  Vaga","Casa com 3 Quartos à Venda, 201m²"
R$ 1.200.000,Caraguatatuba,Praia Das Palmeiras,N/I,N/I,"3
              

                Quartos","4
              

                Banheiros","208
              

                m²","3
                

                  Vagas","Casa com 3 Quartos à Venda, 208m²"
R$ 370.000,Caraguatatuba,Balneário dos Golfinhos,N/I,N/I,"2
              

                Quartos","2
              

                Banheiros","73
              

                m²","2
                

                  Vagas","Casa com 2 Quartos à Venda, 73m²"
"R$ 590.000
                        
Preço abaixo do mercado",Caraguatatuba,GOLFINHO,N/I,N/I,"3
              

                Quartos","3
              

                Banheiros","250
              

                m²","2
                

                  Vagas","Casa com 3 Quartos à Venda, 250m²"
"R$ 1.300.000
                    



                  Condomínio:
                  
                      R$ 1.000",Caraguatatuba,Park Imperial,Rua das Jaboticabeiras,N/I,"4
              

                Quartos","3
              

                Banheiros","160
              

                m²","3
                

                  Vagas","Casa com 4 Quartos à Venda, 160m²"
R$ 800.000,Caraguatatuba,Pontal de Santa Marina,N/I,N/I,"3
              

                Quartos","2
              

                Banheiros","150
              

                m²","3
                

                  Vagas","Casa com 3 Quartos à Venda, 150m²"
"R$ 1.000.000
                        
Preço abaixo do mercado",Caraguatatuba,Indaiá,N/I,N/I,"3
              

                Quartos","4
              

                Banheiros","262
              

                m²","2
                

                  Vagas","Casa com 3 Quartos à Venda, 262m²"
R$ 790.000,Caraguatatuba,Martim de Sa,N/I,N/I,"5
              

                Quartos","4
              

                Banheiros","158
              

                m²","2
                

                  Vagas","Casa com 5 Quartos à Venda, 158m²"
R$ 438.438,Caraguatatuba,Prainha,N/I,N/I,"2
              

                Quartos","1
              

                Banheiro","77
              

                m²","--
                

                  Vaga","Apartamento com 2 Quartos à Venda, 77m²"
"R$ 410.000
                    



                  Condomínio:
                  
                      R$ 600",Caraguatatuba,Massaguaçu,Rua Tetsuo Watanabe,165,"2
              

                Quartos","2
              

                Banheiros","57
              

                m²","1
                

                  Vaga","Apartamento com 2 Quartos à Venda, 57m²"
R$ 290.000,Caraguatatuba,Pereque Mirim,N/I,N/I,"3
              

                Quartos","3
              

                Banheiros","10
              

                m²","--
                

                  Vaga","Casa com 3 Quartos à Venda, 10m²"
R$ 700.000,Caraguatatuba,Massaguaçu,Rua Nereu de Oliveira Ramos,345,"6
              

                Quartos","6
              

                Banheiros","236
              

                m²","6
                

                  Vagas","Casa com 6 Quartos à Venda, 236m²"
R$ 490.000,Caraguatatuba,Morro Do Algodao,N/I,N/I,"4
              

                Quartos","1
              

                Banheiro","800
              

                m²","4
                

                  Vagas","Fazenda/Sítio/Chácara com 4 Quartos à Venda, 800m²"
R$ 490.000,Caraguatatuba,Centro,Avenida Prestes Maia,111,"3
              

                Quartos","2
              

                Banheiros","76
              

                m²","1
                

                  Vaga","Apartamento com 3 Quartos à Venda, 76m²"
R$ 450.000,Caraguatatuba,Indaiá,Avenida Prefeito Geraldo Nogueira da Silva,2300,"1
              

                Quarto","1
              

                Banheiro","30
              

                m²","1
                

                  Vaga","Apartamento com  Quarto à Venda, 30m²"
R$ 290.413,Caraguatatuba,Jardim Gaivotas,Avenida Cardeal,10,"2
              

                Quartos","1
              

                Banheiro","50
              

                m²","1
                

                  Vaga","Apartamento com 2 Quartos à Venda, 50m²"
R$ 900.000,Caraguatatuba,Balneario Forest,Avenida Presidente Castelo Branco,775,"3
              

                Quartos","3
              

                Banheiros","113
              

                m²","2
                

                  Vagas","Cobertura com 3 Quartos à Venda, 113m²"
R$ 370.000,Caraguatatuba,Massaguaçu,Avenida Dois,S/N,"--
              

                Quarto","--
              

                Banheiro","402
              

                m²","--
                

                  Vaga","Lote/Terreno    à Venda, 402m²"
R$ 195.000,Caraguatatuba,Balneário dos Golfinhos,N/I,N/I,"2
              

                Quartos","1
              

                Banheiro","10
              

                m²","3
                

                  Vagas","Casa com 2 Quartos à Venda, 10m²"
"R$ 2.545.000
                    



                  Condomínio:
                  
                      R$ 390",Caraguatatuba,Mocóca,N/I,N/I,"3
              

                Quartos","3
              

                Banheiros","247
              

                m²","2
                

                  Vagas","Casa com 3 Quartos à Venda, 247m²"
R$ 900.000,Caraguatatuba,Massaguaçu,N/I,N/I,"3
              

                Quartos","4
              

                Banheiros","180
              

                m²","3
                

                  Vagas","Casa com 3 Quartos à Venda, 180m²"
"R$ 340.000
                    



                  Condomínio:
                  
                      R$ 300",Caraguatatuba,Morro Do Algodao,N/I,N/I,"2
              

                Quartos","1
              

                Banheiro","80
              

                m²","1
                

                  Vaga","Casa com 2 Quartos à Venda, 80m²"
"R$ 360.000
                        
Preço abaixo do mercado





                  Condomínio:
                  
                      R$ 50",Caraguatatuba,Cidade Jardim,N/I,N/I,"2
              

                Quartos","1
              

                Banheiro","82
              

                m²","2
                

                  Vagas","Casa com 2 Quartos à Venda, 82m²"
R$ 999.000,Caraguatatuba,Pontal de Santa Marina,N/I,N/I,"4
              

                Quartos","3
              

                Banheiros","300
              

                m²","1
                

                  Vaga","Casa com 4 Quartos à Venda, 300m²"
"R$ 508.000
                    



                  Condomínio:
                  
                      R$ 600",Caraguatatuba,Martim de Sa,N/I,N/I,"3
              

                Quartos","1
              

                Banheiro","100
              

                m²","2
                

                  Vagas","Casa com 3 Quartos à Venda, 100m²"
"R$ 430.000
                    



                  Condomínio:
                  
                      R$ 500",Caraguatatuba,Martin de Sá,Rua Luiz Lyria Martinez,701,"3
              

                Quartos","1
              

                Banheiro","75
              

                m²","1
                

                  Vaga","Apartamento com 3 Quartos à Venda, 75m²"
R$ 950.000,Caraguatatuba,Recando Som do Mar,N/I,N/I,"--
              

                Quarto","--
              

                Banheiro","720
              

                m²","--
                

                  Vaga","Lote/Terreno    à Venda, 720m²"
"R$ 1.250.000
                    



                  Condomínio:
                  
                      R$ 950",Caraguatatuba,Martim de Sa,N/I,N/I,"3
              

                Quartos","1
              

                Banheiro","90
              

                m²","2
                

                  Vagas","Apartamento com 3 Quartos à Venda, 90m²"
"R$ 745.000
                    



                  Condomínio:
                  
                      R$ 560",Caraguatatuba,Tabatinga,N/I,N/I,"2
              

                Quartos","2
              

                Banheiros","103
              

                m²","1
                

                  Vaga","Apartamento com 2 Quartos à Venda, 103m²"
"R$ 510.000
                    



                  Condomínio:
                  
                      R$ 800",Caraguatatuba,Prainha,Rua Doutor Antonio Roberto Almeida,N/I,"2
              

                Quartos","2
              

                Banheiros","65
              

                m²","1
                

                  Vaga","Apartamento com 2 Quartos à Venda, 65m²"
R$ 1.400.000,Caraguatatuba,Indaiá,N/I,N/I,"4
              

                Quartos","4
              

                Banheiros","400
              

                m²","10
                

                  Vagas","Casa com 4 Quartos à Venda, 400m²"
R$ 540.000,Caraguatatuba,Estrela D Alva,N/I,N/I,"2
              

                Quartos","1
              

                Banheiro","140
              

                m²","5
                

                  Vagas","Casa com 2 Quartos à Venda, 140m²"
R$ 429.000,Caraguatatuba,Martim de Sa,N/I,N/I,"--
              

                Quarto","--
              

                Banheiro","330
              

                m²","--
                

                  Vaga","Lote/Terreno    à Venda, 330m²"
R$ 5.000.000,Caraguatatuba,Jardim Santa Rosa,N/I,N/I,"--
              

                Quarto","--
              

                Banheiro","8814
              

                m²","--
                

                  Vaga",Lote/Terreno    para Venda/Aluguel 8814m²
R$ 525.000,Caraguatatuba,Balneário dos Golfinhos,Alameda Alfredo Carlos Rokita,34,"3
              

                Quartos","2
              

                Banheiros","108
              

                m²","2
                

                  Vagas","Casa com 3 Quartos à Venda, 108m²"
R$ 1.400.000,Caraguatatuba,Jardim Britânia,N/I,N/I,"4
              

                Quartos","5
              

                Banheiros","261
              

                m²","4
                

                  Vagas","Casa com 4 Quartos à Venda, 261m²"
R$ 680.000,Caraguatatuba,Massaguaçu,N/I,N/I,"3
              

                Quartos","4
              

                Banheiros","270
              

                m²","4
                

                  Vagas","Casa com 3 Quartos à Venda, 270m²"
R$ 450.000,Caraguatatuba,Pontal de Santa Marina,N/I,N/I,"2
              

                Quartos","2
              

                Banheiros","76
              

                m²","1
                

                  Vaga","Casa com 2 Quartos à Venda, 76m²"
"R$ 1.350.000
                    



                  Condomínio:
                  
                      R$ 320",Caraguatatuba,Portal do Patrimonium,Rua Dom Lourenço de Almada,71,"4
              

                Quartos","3
              

                Banheiros","220
              

                m²","2
                

                  Vagas","Casa com 4 Quartos à Venda, 220m²"
"R$ 410.000
                    



                  Condomínio:
                  
                      R$ 297",Caraguatatuba,Martim de Sa,Avenida Doutor Aldino Schiavi,588,"2
              

                Quartos","3
              

                Banheiros","86
              

                m²","1
                

                  Vaga","Casa de condomínio com 2 Quartos à Venda, 86m²"
R$ 1.272.000,Caraguatatuba,Massaguaçu,N/I,N/I,"8
              

                Quartos","8
              

                Banheiros","75
              

                m²","6
                

                  Vagas","Casa com 8 Quartos à Venda, 75m²"
"R$ 1.166.000
                    



                  Condomínio:
                  
                      R$ 187",Caraguatatuba,Massaguaçu,N/I,N/I,"4
              

                Quartos","5
              

                Banheiros","230
              

                m²","2
                

                  Vagas","Casa com 4 Quartos à Venda, 230m²"
"R$ 1.150.000
                    



                  Condomínio:
                  
                      R$ 1.118",Caraguatatuba,Indaiá,N/I,N/I,"3
              

                Quartos","3
              

                Banheiros","130
              

                m²","2
                

                  Vagas","Apartamento com 3 Quartos à Venda, 130m²"
